img,id,choice
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,1,yes_crt_yes_cnxt
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",1,other_alttext
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",1,other_alttext
Maxwell_Epstein_Clinton_1993_2.jpg,1,other_alttext
1991_Grantland_Rice_Trophy.jpg,1,other_alttext
Tanaka_Farms_logo.png,1,yes_crt_yes_cnxt
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,2,yes_crt_yes_cnxt
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",2,other_alttext
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",2,yes_crt_yes_cnxt
Maxwell_Epstein_Clinton_1993_2.jpg,2,other_alttext
1991_Grantland_Rice_Trophy.jpg,2,other_alttext
Tanaka_Farms_logo.png,2,yes_crt_yes_cnxt
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,3,yes_crt_yes_cnxt
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",3,other_alttext
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",3,other_alttext
Maxwell_Epstein_Clinton_1993_2.jpg,3,yes_crt_yes_cnxt
1991_Grantland_Rice_Trophy.jpg,3,other_alttext
Tanaka_Farms_logo.png,3,yes_crt_yes_cnxt
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,4,yes_crt_yes_cnxt
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",4,other_alttext
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",4,other_alttext
Maxwell_Epstein_Clinton_1993_2.jpg,4,yes_crt_yes_cnxt
1991_Grantland_Rice_Trophy.jpg,4,other_alttext
Tanaka_Farms_logo.png,4,yes_crt_yes_cnxt
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,5,other_alttext
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",5,other_alttext
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",5,other_alttext
Maxwell_Epstein_Clinton_1993_2.jpg,5,yes_crt_yes_cnxt
1991_Grantland_Rice_Trophy.jpg,5,yes_crt_yes_cnxt
Tanaka_Farms_logo.png,5,yes_crt_yes_cnxt
Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,6,yes_crt_yes_cnxt
"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",6,yes_crt_yes_cnxt
"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",6,yes_crt_yes_cnxt
Maxwell_Epstein_Clinton_1993_2.jpg,6,yes_crt_yes_cnxt
1991_Grantland_Rice_Trophy.jpg,6,yes_crt_yes_cnxt
Tanaka_Farms_logo.png,6,yes_crt_yes_cnxt
